SubBlock,BlockID,parameter,R0,R1,param_mask,reg_mask,defval_mask,param_minbit,reg_id
DigitalHalf,0,Adc_TH,46,11,31,31,0,0,0
DigitalHalf,0,Bx_offset,57,11,255,255,1,0,0
DigitalHalf,0,Bx_offset,58,11,3840,15,0,8,1
DigitalHalf,0,Bx_trigger,56,11,255,255,15,0,0
DigitalHalf,0,Bx_trigger,58,11,3840,240,0,8,1
DigitalHalf,0,CalibrationSC,36,11,1,64,0,0,0
DigitalHalf,0,ClrAdcTot_trig,32,11,255,255,0,0,0
DigitalHalf,0,ClrAdcTot_trig,33,11,65280,255,0,8,1
DigitalHalf,0,ClrAdcTot_trig,34,11,16711680,255,0,16,2
DigitalHalf,0,ClrAdcTot_trig,35,11,4278190080,255,0,24,3
DigitalHalf,0,ClrAdcTot_trig,36,11,64424509440,15,0,32,4
DigitalHalf,0,IdleFrame,48,11,255,255,204,0,0
DigitalHalf,0,IdleFrame,49,11,65280,255,204,8,1
DigitalHalf,0,IdleFrame,50,11,16711680,255,204,16,2
DigitalHalf,0,IdleFrame,51,11,251658240,15,12,24,3
DigitalHalf,0,L1Offset,46,11,256,128,0,8,0
DigitalHalf,0,L1Offset,47,11,255,255,8,0,1
DigitalHalf,0,MultFactor,45,11,31,31,25,0,0
DigitalHalf,0,SC_testRAM,36,11,1,32,0,0,0
DigitalHalf,0,SelTC4,36,11,1,128,128,0,0
DigitalHalf,0,Tot_P0,44,11,127,127,0,0,0
DigitalHalf,0,Tot_P1,43,11,127,127,0,0,0
DigitalHalf,0,Tot_P2,42,11,127,127,0,0,0
DigitalHalf,0,Tot_P3,41,11,127,127,0,0,0
DigitalHalf,0,Tot_P_Add,36,11,1,16,0,0,0
DigitalHalf,0,Tot_TH0,40,11,255,255,0,0,0
DigitalHalf,0,Tot_TH1,39,11,255,255,0,0,0
DigitalHalf,0,Tot_TH2,38,11,255,255,0,0,0
DigitalHalf,0,Tot_TH3,37,11,255,255,0,0,0
DigitalHalf,0,sc_testRAM,52,11,255,255,204,0,0
DigitalHalf,0,sc_testRAM,53,11,65280,255,204,8,1
DigitalHalf,0,sc_testRAM,54,11,16711680,255,204,16,2
DigitalHalf,0,sc_testRAM,55,11,4278190080,255,204,24,3
DigitalHalf,1,Adc_TH,110,5,31,31,0,0,0
DigitalHalf,1,Bx_offset,121,5,255,255,1,0,0
DigitalHalf,1,Bx_offset,122,5,3840,15,0,8,1
DigitalHalf,1,Bx_trigger,120,5,255,255,15,0,0
DigitalHalf,1,Bx_trigger,122,5,3840,240,0,8,1
DigitalHalf,1,CalibrationSC,100,5,1,64,0,0,0
DigitalHalf,1,ClrAdcTot_trig,96,5,255,255,0,0,0
DigitalHalf,1,ClrAdcTot_trig,97,5,65280,255,0,8,1
DigitalHalf,1,ClrAdcTot_trig,98,5,16711680,255,0,16,2
DigitalHalf,1,ClrAdcTot_trig,99,5,4278190080,255,0,24,3
DigitalHalf,1,ClrAdcTot_trig,100,5,64424509440,15,0,32,4
DigitalHalf,1,IdleFrame,112,5,255,255,204,0,0
DigitalHalf,1,IdleFrame,113,5,65280,255,204,8,1
DigitalHalf,1,IdleFrame,114,5,16711680,255,204,16,2
DigitalHalf,1,IdleFrame,115,5,251658240,15,12,24,3
DigitalHalf,1,L1Offset,110,5,256,128,0,8,0
DigitalHalf,1,L1Offset,111,5,255,255,8,0,1
DigitalHalf,1,MultFactor,109,5,31,31,25,0,0
DigitalHalf,1,SC_testRAM,100,5,1,32,0,0,0
DigitalHalf,1,SelTC4,100,5,1,128,128,0,0
DigitalHalf,1,Tot_P0,108,5,127,127,0,0,0
DigitalHalf,1,Tot_P1,107,5,127,127,0,0,0
DigitalHalf,1,Tot_P2,106,5,127,127,0,0,0
DigitalHalf,1,Tot_P3,105,5,127,127,0,0,0
DigitalHalf,1,Tot_P_Add,100,5,1,16,0,0,0
DigitalHalf,1,Tot_TH0,104,5,255,255,0,0,0
DigitalHalf,1,Tot_TH1,103,5,255,255,0,0,0
DigitalHalf,1,Tot_TH2,102,5,255,255,0,0,0
DigitalHalf,1,Tot_TH3,101,5,255,255,0,0,0
DigitalHalf,1,sc_testRAM,116,5,255,255,204,0,0
DigitalHalf,1,sc_testRAM,117,5,65280,255,204,8,1
DigitalHalf,1,sc_testRAM,118,5,16711680,255,204,16,2
DigitalHalf,1,sc_testRAM,119,5,4278190080,255,204,24,3
GlobalAnalog,0,Cd,232,10,7,7,7,0,0
GlobalAnalog,0,Cf,233,10,15,15,10,0,0
GlobalAnalog,0,Cf_comp,232,10,15,240,160,0,0
GlobalAnalog,0,Clr_ADC,234,10,1,16,0,0,0
GlobalAnalog,0,Clr_ShaperTail,235,10,1,1,0,0,0
GlobalAnalog,0,Dacb_dynran,236,10,3,3,3,0,0
GlobalAnalog,0,Dacb_vb_conv,225,10,7,224,192,0,0
GlobalAnalog,0,Dacb_vbi_pa,226,10,63,252,128,0,0
GlobalAnalog,0,Delay40,237,10,7,28,0,0,0
GlobalAnalog,0,Delay65,237,10,7,224,0,0,0
GlobalAnalog,0,Delay87,238,10,7,28,0,0,0
GlobalAnalog,0,Delay9,238,10,7,224,0,0,0
GlobalAnalog,0,En_hyst_tot,232,10,1,8,8,0,0
GlobalAnalog,0,Gain_conv,224,10,8,128,128,3,0
GlobalAnalog,0,Ibi_inv,228,10,3,3,0,0,0
GlobalAnalog,0,Ibi_inv_buf,230,10,3,3,2,0,0
GlobalAnalog,0,Ibi_noinv,229,10,3,3,0,0,0
GlobalAnalog,0,Ibi_noinv_buf,231,10,3,3,2,0,0
GlobalAnalog,0,Ibi_sk,227,10,3,3,0,0,0
GlobalAnalog,0,Ibo_inv,228,10,63,252,40,0,0
GlobalAnalog,0,Ibo_inv_buf,230,10,63,252,152,0,0
GlobalAnalog,0,Ibo_noinv,229,10,63,252,40,0,0
GlobalAnalog,0,Ibo_noinv_buf,231,10,63,252,152,0,0
GlobalAnalog,0,Ibo_sk,227,10,63,252,40,0,0
GlobalAnalog,0,Idac_inv,225,10,7,28,16,0,0
GlobalAnalog,0,Idac_tot,224,10,7,112,64,0,0
GlobalAnalog,0,ON_backup,234,10,1,4,4,0,0
GlobalAnalog,0,ON_conv,224,10,1,4,4,0,0
GlobalAnalog,0,ON_dac_trim,224,10,1,1,1,0,0
GlobalAnalog,0,ON_input_dac,224,10,1,2,2,0,0
GlobalAnalog,0,ON_pa,224,10,1,8,8,0,0
GlobalAnalog,0,ON_ref_adc,238,10,1,1,1,0,0
GlobalAnalog,0,ON_rtr,225,10,1,1,1,0,0
GlobalAnalog,0,ON_toa,226,10,1,1,1,0,0
GlobalAnalog,0,ON_tot,226,10,1,2,2,0,0
GlobalAnalog,0,Ref_pa_cm,234,10,3,3,3,0,0
GlobalAnalog,0,Rf,233,10,15,240,128,0,0
GlobalAnalog,0,S_inv,235,10,7,28,8,0,0
GlobalAnalog,0,S_inv_buf,236,10,7,28,8,0,0
GlobalAnalog,0,S_noinv,235,10,7,224,64,0,0
GlobalAnalog,0,S_noinv_buf,236,10,7,224,64,0,0
GlobalAnalog,0,S_sk,234,10,7,224,64,0,0
GlobalAnalog,0,SelExtADC,234,10,1,8,8,0,0
GlobalAnalog,0,SelRisingEdge,235,10,1,2,0,0,0
GlobalAnalog,0,Sw_super_conv,225,10,1,2,2,0,0
GlobalAnalog,0,ref_adc,237,10,3,3,0,0,0
GlobalAnalog,1,Cd,40,5,7,7,7,0,0
GlobalAnalog,1,Cf,41,5,15,15,10,0,0
GlobalAnalog,1,Cf_comp,40,5,15,240,160,0,0
GlobalAnalog,1,Clr_ADC,42,5,1,16,0,0,0
GlobalAnalog,1,Clr_ShaperTail,43,5,1,1,0,0,0
GlobalAnalog,1,Dacb_dynran,44,5,3,3,3,0,0
GlobalAnalog,1,Dacb_vb_conv,33,5,7,224,192,0,0
GlobalAnalog,1,Dacb_vbi_pa,34,5,63,252,128,0,0
GlobalAnalog,1,Delay40,45,5,7,28,0,0,0
GlobalAnalog,1,Delay65,45,5,7,224,0,0,0
GlobalAnalog,1,Delay87,46,5,7,28,0,0,0
GlobalAnalog,1,Delay9,46,5,7,224,0,0,0
GlobalAnalog,1,En_hyst_tot,40,5,1,8,8,0,0
GlobalAnalog,1,Gain_conv,32,5,8,128,128,3,0
GlobalAnalog,1,Ibi_inv,36,5,3,3,0,0,0
GlobalAnalog,1,Ibi_inv_buf,38,5,3,3,2,0,0
GlobalAnalog,1,Ibi_noinv,37,5,3,3,0,0,0
GlobalAnalog,1,Ibi_noinv_buf,39,5,3,3,2,0,0
GlobalAnalog,1,Ibi_sk,35,5,3,3,0,0,0
GlobalAnalog,1,Ibo_inv,36,5,63,252,40,0,0
GlobalAnalog,1,Ibo_inv_buf,38,5,63,252,152,0,0
GlobalAnalog,1,Ibo_noinv,37,5,63,252,40,0,0
GlobalAnalog,1,Ibo_noinv_buf,39,5,63,252,152,0,0
GlobalAnalog,1,Ibo_sk,35,5,63,252,40,0,0
GlobalAnalog,1,Idac_inv,33,5,7,28,16,0,0
GlobalAnalog,1,Idac_tot,32,5,7,112,64,0,0
GlobalAnalog,1,ON_backup,42,5,1,4,4,0,0
GlobalAnalog,1,ON_conv,32,5,1,4,4,0,0
GlobalAnalog,1,ON_dac_trim,32,5,1,1,1,0,0
GlobalAnalog,1,ON_input_dac,32,5,1,2,2,0,0
GlobalAnalog,1,ON_pa,32,5,1,8,8,0,0
GlobalAnalog,1,ON_ref_adc,46,5,1,1,1,0,0
GlobalAnalog,1,ON_rtr,33,5,1,1,1,0,0
GlobalAnalog,1,ON_toa,34,5,1,1,1,0,0
